no,username,region,Weapon,kills,headshot(%)
353,BabyJ#Halo,na, Ghost ,"5,459",46.50%
354,jeffieweffie ˇーˇ#cat,na, Vandal ,"15,256",40.60%
355,jeffieweffie ˇーˇ#cat,na, Phantom ,"10,975",33.50%
356,jeffieweffie ˇーˇ#cat,na, Sheriff ,"2,678",60.30%
357,acoezy#ksap,na, Vandal ,"38,679",44.20%
358,acoezy#ksap,na, Phantom ,"17,256",37.90%
359,acoezy#ksap,na, Sheriff ,"6,378",53.40%
360,misu#2024,na, Vandal ,"14,792",37.50%
361,misu#2024,na, Phantom ,"3,289",33.80%
362,misu#2024,na, Ghost ,"1,349",38.50%
363,TTV NELBLOOD18 P#NIS,na, Vandal ,"14,086",43.60%
364,TTV NELBLOOD18 P#NIS,na, Phantom ,"4,921",37.60%
365,TTV NELBLOOD18 P#NIS,na, Operator ,"2,151",7.50%
366,AK leon#MEC,na, Vandal ,"15,490",38.90%
367,AK leon#MEC,na, Phantom ,"1,824",31.10%
368,AK leon#MEC,na, Ghost ,"1,770",41.70%
369,iwillnvrletyougo#rawrr,na, Vandal ,"36,049",35.90%
370,iwillnvrletyougo#rawrr,na, Phantom ,"10,744",28.80%
371,iwillnvrletyougo#rawrr,na, Ghost ,"5,429",41.30%
372,AK Cebando#Mate,na, Vandal ,"14,644",42.70%
373,AK Cebando#Mate,na, Phantom ,"7,189",39.70%
374,AK Cebando#Mate,na, Sheriff ,"1,998",63.10%
375,JEFF RICHMAN#ncj,na, Vandal ,"23,824",32.30%
376,JEFF RICHMAN#ncj,na, Phantom ,"14,123",27.40%
377,JEFF RICHMAN#ncj,na, Spectre ,"4,986",24.10%
378,Smeagolfthegr8#SMEAG,na, Vandal ,"1,458",46.30%
379,Smeagolfthegr8#SMEAG,na, Phantom ,"1,424",43.80%
380,Smeagolfthegr8#SMEAG,na, Ghost ,321,49.10%
381,Fractured#FBS,na, Vandal ,"17,294",31.60%
382,Fractured#FBS,na, Phantom ,"12,700",28.20%
383,Fractured#FBS,na, Spectre ,"3,443",19.90%
384,KING VINNY#NA1,na, Vandal ,"16,852",36.20%
385,KING VINNY#NA1,na, Operator ,"8,165",6.50%
386,KING VINNY#NA1,na, Phantom ,"5,058",29.20%
387,Eggsterr#NJLTC,na, Vandal ,"24,634",40.10%
388,Eggsterr#NJLTC,na, Phantom ,"11,336",34.60%
389,Eggsterr#NJLTC,na, Spectre ,"2,947",25.50%
390,fletcher#0000,na, Vandal ,"14,234",45.70%
391,fletcher#0000,na, Phantom ,"8,482",39.00%
392,fletcher#0000,na, Spectre ,"1,917",28.30%
393,I THROW FOR FUN#HAHAH,na, Vandal ,"9,350",49.20%
394,I THROW FOR FUN#HAHAH,na, Phantom ,"3,721",42.60%
395,I THROW FOR FUN#HAHAH,na, Sheriff ,"1,214",57.30%
396,TSM NaturE#RAT,na, Vandal ,"16,389",39.30%
397,TSM NaturE#RAT,na, Phantom ,"15,034",35.20%
398,TSM NaturE#RAT,na, Operator ,"2,917",8.00%
399,freeway#016,na, Vandal ,"12,089",40.80%
400,freeway#016,na, Phantom ,"1,856",33.40%
401,freeway#016,na, Ghost ,"1,555",47.50%
402,ocky momo#TTV,na, Vandal ,"10,864",39.70%
403,ocky momo#TTV,na, Phantom ,"7,936",32.80%
404,ocky momo#TTV,na, Operator ,"2,678",7.10%
405,SuperCoolMudkip#Muddy,na, Vandal ,"11,158",36.90%
406,SuperCoolMudkip#Muddy,na, Phantom ,"7,265",32.40%
407,SuperCoolMudkip#Muddy,na, Classic ,"1,947",31.80%
408,The Wukong God#420,na, Vandal ,"19,076",40.00%
409,The Wukong God#420,na, Phantom ,"5,220",34.70%
410,The Wukong God#420,na, Operator ,"2,680",8.50%
411,zeek#lydia,na, Vandal ,"9,272",36.60%
412,zeek#lydia,na, Phantom ,"8,462",27.80%
413,zeek#lydia,na, Spectre ,"2,229",21.40%
414,kumi#washd,na, Vandal ,"16,341",42.50%
415,kumi#washd,na, Phantom ,"3,611",34.10%
416,kumi#washd,na, Sheriff ,"2,239",63.80%
417,FFE Papicam#J34,na, Vandal ,"14,451",34.70%
418,FFE Papicam#J34,na, Phantom ,"10,056",30.30%
419,FFE Papicam#J34,na, Operator ,"3,339",6.00%
420,sacred#7187,na, Vandal ,"38,662",39.40%
421,sacred#7187,na, Phantom ,"13,225",32.10%
422,sacred#7187,na, Sheriff ,"5,682",54.30%
423,turtle kevy#spoof,na, Vandal ,"25,767",36.30%
424,turtle kevy#spoof,na, Phantom ,"10,500",28.90%
425,turtle kevy#spoof,na, Operator ,"2,918",8.10%
426,kade44#Fill,na, Vandal ,"27,662",31.70%
427,kade44#Fill,na, Phantom ,"12,045",25.40%
428,kade44#Fill,na, Ghost ,"4,440",39.80%
429,Bucky#ISL,na, Vandal ,"20,283",29.30%
430,Bucky#ISL,na, Phantom ,"4,297",21.30%
431,Bucky#ISL,na, Spectre ,"2,214",16.00%
432,EG JAWGEMO#MOR,na, Vandal ,"39,539",37.30%
433,EG JAWGEMO#MOR,na, Phantom ,"14,495",32.60%
434,EG JAWGEMO#MOR,na, Ghost ,"5,086",42.40%
435,Crazymojo#9669,na, Vandal ,"39,690",34.00%
436,Crazymojo#9669,na, Phantom ,"20,877",29.90%
437,Crazymojo#9669,na, Spectre ,"4,941",20.20%
438,HOMIXIDE DADSTIN#OPIUM,na, Vandal ,"16,582",33.40%
439,HOMIXIDE DADSTIN#OPIUM,na, Phantom ,"7,856",28.80%
440,HOMIXIDE DADSTIN#OPIUM,na, Spectre ,"2,793",20.40%
441,unstable#zero,na, Vandal ,"42,754",45.70%
442,unstable#zero,na, Phantom ,"18,195",38.00%
443,unstable#zero,na, Sheriff ,"5,278",56.40%
444,wtp interlaced#tesla,na, Vandal ,"15,884",39.10%
445,wtp interlaced#tesla,na, Phantom ,"12,013",28.80%
446,wtp interlaced#tesla,na, Spectre ,"3,478",24.00%
447,King#FPS1,na, Vandal ,"22,471",43.20%
448,King#FPS1,na, Phantom ,"12,979",35.90%
449,King#FPS1,na, Ghost ,"3,761",53.30%
450,yoon#SANE,na, Vandal ,"7,965",37.10%
451,yoon#SANE,na, Phantom ,"4,941",32.80%
452,yoon#SANE,na, Spectre ,"1,128",24.80%
453,Ara#Cute,na, Vandal ,"21,078",40.80%
454,Ara#Cute,na, Phantom ,"7,557",35.40%
455,Ara#Cute,na, Operator ,"3,882",11.50%
456,KRÜ Klaus#11111,na, Vandal ,"14,820",34.70%
457,KRÜ Klaus#11111,na, Phantom ,"6,951",28.30%
458,KRÜ Klaus#11111,na, Spectre ,"1,901",22.70%
459,NXBLE#helen,na, Vandal ,"26,178",35.40%
460,NXBLE#helen,na, Phantom ,"18,603",29.80%
461,NXBLE#helen,na, Ghost ,"5,122",38.60%
